t,theta,omega
3.63333,5.20308,1.65054
3.65,5.23058,1.58881
3.66667,5.25706,1.58257
3.68333,5.28344,1.56255
3.7,5.30948,1.65434
3.71667,5.33706,1.6629
3.73333,5.36477,1.66133
3.75,5.39246,1.65159
3.76667,5.41999,1.71115
3.78333,5.4485,1.70535
3.8,5.47693,1.70262
3.81667,5.5053,1.78507
3.83333,5.53506,1.63583
3.85,5.56232,1.78201
3.86667,5.59202,1.77514
3.88333,5.62161,1.66532
3.9,5.64936,1.90909
3.91667,5.68118,1.80349
3.93333,5.71124,1.76226
3.95,5.74061,1.7677
3.96667,5.77007,1.84775
3.98333,5.80087,1.78556
4,5.83062,1.8801
4.01667,5.86196,1.77181
4.03333,5.89149,1.92863
4.05,5.92363,1.77644
4.06667,5.95324,1.84524
4.08333,5.984,1.83513
4.1,6.01458,1.79842
4.11667,6.04455,1.96641
4.13333,6.07733,1.81986
4.15,6.10766,1.964
4.16667,6.14039,1.90982
4.18333,6.17222,1.76944
4.2,6.20171,1.94663
4.21667,6.23416,1.91763
4.23333,6.26612,1.911
4.25,6.29797,1.90065
4.26667,6.32965,1.97355
4.28333,6.36254,1.84252
4.3,6.39325,1.85722
4.31667,6.4242,1.91797
4.33333,6.45617,1.95367
4.35,6.48873,1.793
4.36667,6.51861,1.93553
4.38333,6.55087,1.89794
4.4,6.5825,1.98579
4.41667,6.6156,1.8674
4.43333,6.64672,1.76348
4.45,6.67611,1.93936
4.46667,6.70844,1.91493
4.48333,6.74035,1.8441
4.5,6.77109,1.91893
4.51667,6.80307,1.89749
4.53333,6.83469,1.85185
4.55,6.86556,1.9071
4.56667,6.89734,1.82473
4.58333,6.92776,1.88545
4.6,6.95918,1.8576
4.61667,6.99014,1.81201
4.63333,7.02034,1.84607
4.65,7.05111,1.84048
4.66667,7.08178,1.83099
4.68333,7.1123,1.81354
4.7,7.14252,1.7784
4.71667,7.17216,1.71114
4.73333,7.20068,1.88923
4.75,7.23217,1.75014
4.76667,7.26134,1.7391
4.78333,7.29032,1.69222
4.8,7.31853,1.79205
4.81667,7.3484,1.72121
4.83333,7.37708,1.75317
4.85,7.4063,1.67412
4.86667,7.4342,1.64104
4.88333,7.46155,1.72037
4.9,7.49023,1.62434
4.91667,7.5173,1.72428
4.93333,7.54604,1.6218
4.95,7.57307,1.66027
4.96667,7.60074,1.53412
4.98333,7.62631,1.67877
5,7.65429,1.52219
5.01667,7.67966,1.67559
5.03333,7.70758,1.48291
5.05,7.7323,1.65042
5.06667,7.75981,1.50091
5.08333,7.78482,1.51114
5.1,7.81001,1.44789
5.11667,7.83414,1.5229
5.13333,7.85952,1.50565
5.15,7.88461,1.50312
5.16667,7.90967,1.38452
5.18333,7.93274,1.50108
5.2,7.95776,1.32081
5.21667,7.97977,1.41481
5.23333,8.00335,1.35276
5.25,8.0259,1.41205
5.26667,8.04943,1.34545
5.28333,8.07186,1.42942
5.3,8.09568,1.25343
5.31667,8.11657,1.38439
5.33333,8.13964,1.32391
5.35,8.16171,1.26763
5.36667,8.18284,1.18667
5.38333,8.20261,1.25619
5.4,8.22355,1.15258
5.41667,8.24276,1.33853
5.43333,8.26507,1.21569
5.45,8.28533,1.12292
5.46667,8.30405,1.22852
5.48333,8.32452,1.11039
5.5,8.34303,1.19736
5.51667,8.36298,1.15668
5.53333,8.38226,1.13309
5.55,8.40115,1.10165
5.56667,8.41951,1.10283
5.58333,8.43789,1.10563
5.6,8.45632,1.05727
5.61667,8.47394,1.03515
5.63333,8.49119,0.98282
5.65,8.50757,1.05509
5.66667,8.52515,1.08354
5.68333,8.54321,0.985883
5.7,8.55964,0.964568
5.71667,8.57572,1.02709
5.73333,8.59284,0.959301
5.75,8.60883,0.971329
5.76667,8.62502,0.899596
5.78333,8.64001,1.01181
5.8,8.65687,0.956515
5.81667,8.67281,0.908151
5.83333,8.68795,0.93207
5.85,8.70349,0.835041
5.86667,8.7174,0.849359
5.88333,8.73156,0.928582
5.9,8.74703,0.845337
5.91667,8.76112,0.884803
5.93333,8.77587,0.840942
5.95,8.78989,0.892607
5.96667,8.80476,0.811123
5.98333,8.81828,0.858434
6,8.83259,0.80101
6.01667,8.84594,0.801094
6.03333,8.85929,0.945813
6.05,8.87505,0.795394
6.06667,8.88831,0.829695
6.08333,8.90214,0.801593
6.1,8.9155,0.761616
6.11667,8.92819,0.867398
6.13333,8.94265,0.763603
6.15,8.95538,0.792335
6.16667,8.96858,0.911172
6.18333,8.98377,0.727614
6.2,8.99589,0.716847
6.21667,9.00784,0.980188
6.23333,9.02418,0.716197
6.25,9.03612,0.697493
6.26667,9.04774,0.829336
6.28333,9.06156,0.79268
6.3,9.07477,0.836562
6.31667,9.08872,0.894844
6.33333,9.10363,0.676164
6.35,9.1149,0.92494
6.36667,9.13032,0.749351
6.38333,9.1428,0.761185
6.4,9.15549,0.803168
6.41667,9.16888,0.883704
6.43333,9.18361,0.824811
6.45,9.19735,0.809415
6.46667,9.21084,0.86225
6.48333,9.22521,0.817204
6.5,9.23883,0.858323
6.51667,9.25314,0.927237
6.53333,9.26859,0.827085
6.55,9.28238,0.864096
6.56667,9.29678,0.921794
6.58333,9.31214,0.805606
6.6,9.32557,0.982205
6.61667,9.34194,0.798019
6.63333,9.35524,0.949834
6.65,9.37107,0.98464
6.66667,9.38748,0.917162
6.68333,9.40277,0.93815
6.7,9.4184,0.962134
6.71667,9.43444,0.997999
6.73333,9.45107,0.91541
6.75,9.46633,0.930096
6.76667,9.48183,0.990626
6.78333,9.49834,1.08655
6.8,9.51645,0.976642
6.81667,9.53273,1.09795
6.83333,9.55103,0.971961
6.85,9.56723,1.03131
6.86667,9.58441,1.15439
6.88333,9.60365,1.08081
6.9,9.62167,1.12475
6.91667,9.64041,1.09378
6.93333,9.65864,1.15647
6.95,9.67792,1.09302
6.96667,9.69613,1.13963
6.98333,9.71513,1.14129
7,9.73415,1.16244
7.01667,9.75352,1.30816
7.03333,9.77533,1.20093
7.05,9.79534,1.18006
7.06667,9.81501,1.36407
7.08333,9.83774,1.21813
7.1,9.85805,1.25213
7.11667,9.87891,1.22351
7.13333,9.89931,1.21533
7.15,9.91956,1.42094
7.16667,9.94324,1.25873
7.18333,9.96422,1.46422
7.2,9.98863,1.35746
7.21667,10.0113,1.4457
7.23333,10.0353,1.31801
7.25,10.0573,1.41393
7.26667,10.0809,1.32386
7.28333,10.1029,1.49356
7.3,10.1278,1.4512
7.31667,10.152,1.45337
7.33333,10.1762,1.54207
7.35,10.2019,1.54412
7.36667,10.2277,1.45971
7.38333,10.252,1.55215
7.4,10.2779,1.56707
7.41667,10.304,1.53783
7.43333,10.3296,1.55278
7.45,10.3555,1.56117
7.46667,10.3815,1.66886
7.48333,10.4093,1.56113
7.5,10.4354,1.58357
7.51667,10.4618,1.77722
7.53333,10.4914,1.53398
7.55,10.5169,1.68448
7.56667,10.545,1.64968
7.58333,10.5725,1.77196
7.6,10.602,1.60211
7.61667,10.6287,1.74686
7.63333,10.6579,1.72804
7.65,10.6867,1.72703
7.66667,10.7154,1.86202
7.68333,10.7465,1.6726
7.7,10.7744,1.80301
7.71667,10.8044,1.7881
7.73333,10.8342,1.81032
7.75,10.8644,1.80528
7.76667,10.8945,1.77451
7.78333,10.924,1.75686
7.8,10.9533,1.77403
7.81667,10.9829,1.93418
7.83333,11.0151,1.73942
7.85,11.0441,1.97463
7.86667,11.077,1.75918
7.88333,11.1063,1.89505
7.9,11.1379,1.84101
7.91667,11.1686,1.80271
7.93333,11.1987,1.96868
7.95,11.2315,1.83224
7.96667,11.262,1.84343
7.98333,11.2927,1.98024
8,11.3257,1.93844
8.01667,11.358,1.76107
8.03333,11.3874,1.94104
8.05,11.4197,1.9307
8.06667,11.4519,1.84334
8.08333,11.4826,1.90904
8.1,11.5145,1.90151
8.11667,11.5462,1.92413
8.13333,11.5782,1.89447
8.15,11.6098,1.96422
8.16667,11.6425,1.95719
8.18333,11.6752,1.75613
8.2,11.7044,1.95719
8.21667,11.737,1.96239
8.23333,11.7697,1.91298
8.25,11.8016,1.86965
8.26667,11.8328,1.81367
8.28333,11.863,1.96815
8.3,11.8958,1.92217
8.31667,11.9279,1.83997
8.33333,11.9585,1.81628
8.35,11.9888,1.87714
8.36667,12.0201,1.88442
8.38333,12.0515,1.93759
8.4,12.0838,1.81512
8.41667,12.114,1.89977
8.43333,12.1457,1.71747
8.45,12.1743,1.94841
8.46667,12.2068,1.79072
8.48333,12.2366,1.81627
8.5,12.2669,1.69894
8.51667,12.2952,1.82111
8.53333,12.3256,1.82494
8.55,12.356,1.85081
8.56667,12.3868,1.77654
8.58333,12.4164,1.64699
8.6,12.4439,1.80847
8.61667,12.474,1.77797
8.63333,12.5037,1.63975
8.65,12.531,1.80681
8.66667,12.5611,1.64655
8.68333,12.5886,1.72628
8.7,12.6173,1.69295
8.71667,12.6455,1.63446
8.73333,12.6728,1.64804
8.75,12.7003,1.66849
8.76667,12.7281,1.67364
8.78333,12.756,1.62713
8.8,12.7831,1.5747
8.81667,12.8093,1.52544
8.83333,12.8347,1.60122
8.85,12.8614,1.56796
8.86667,12.8876,1.59539
8.88333,12.9142,1.43047
8.9,12.938,1.59096
8.91667,12.9645,1.52559
8.93333,12.9899,1.46603
8.95,13.0144,1.52046
8.96667,13.0397,1.434
8.98333,13.0636,1.41684
9,13.0872,1.34881
9.01667,13.1097,1.48409
9.03333,13.1344,1.50953
9.05,13.1596,1.24216
9.06667,13.1803,1.4213
9.08333,13.204,1.32385
9.1,13.2261,1.37775
9.11667,13.249,1.20615
9.13333,13.2691,1.48104
9.15,13.2938,1.26692
9.16667,13.3149,1.24248
9.18333,13.3356,1.24218
9.2,13.3563,1.21837
9.21667,13.3766,1.30178
9.23333,13.3983,1.24973
9.25,13.4192,1.02838
9.26667,13.4363,1.29966
9.28333,13.458,1.18361
9.3,13.4777,1.26916
9.31667,13.4988,1.03246
9.33333,13.5161,1.13327
9.35,13.5349,1.15448
9.36667,13.5542,1.06733
9.38333,13.572,1.15392
9.4,13.5912,0.982494
9.41667,13.6076,1.06385
9.43333,13.6253,1.08512
9.45,13.6434,1.09034
9.46667,13.6616,0.936868
9.48333,13.6772,1.07223
9.5,13.695,1.05898
9.51667,13.7127,0.875151
9.53333,13.7273,1.00448
9.55,13.744,0.958407
9.56667,13.76,0.932475
9.58333,13.7755,1.05065
9.6,13.7931,0.891324
9.61667,13.8079,0.850256
9.63333,13.8221,1.0351
9.65,13.8393,0.784707
9.66667,13.8524,1.03678
9.68333,13.8697,0.853844
9.7,13.8839,0.842829
9.71667,13.898,0.87282
9.73333,13.9125,0.900649
9.75,13.9275,0.870645
9.76667,13.942,0.820654
9.78333,13.9557,0.856052
9.8,13.97,0.799628
9.81667,13.9833,0.836733
9.83333,13.9973,0.790417
9.85,14.0104,0.879455
9.86667,14.0251,0.760989
9.88333,14.0378,0.871852
9.9,14.0523,0.77379
9.91667,14.0652,0.846006
9.93333,14.0793,0.805122
9.95,14.0927,0.826785
9.96667,14.1065,0.793858
