t,theta,omega
15.9667,22.2683,1.85424
15.9833,22.2992,1.84706
16,22.3299,1.92235
16.0167,22.362,1.88023
16.0333,22.3933,1.792
16.05,22.4232,1.80088
16.0667,22.4532,1.8799
16.0833,22.4845,1.81595
16.1,22.5148,1.81198
16.1167,22.545,1.75085
16.1333,22.5742,1.77657
16.15,22.6038,1.77843
16.1667,22.6334,1.81945
16.1833,22.6638,1.77557
16.2,22.6933,1.66516
16.2167,22.7211,1.89784
16.2333,22.7527,1.69008
16.25,22.7809,1.75011
16.2667,22.8101,1.59764
16.2833,22.8367,1.79458
16.3,22.8666,1.65711
16.3167,22.8942,1.67699
16.3333,22.9222,1.6543
16.35,22.9497,1.63485
16.3667,22.977,1.71251
16.3833,23.0055,1.54446
16.4,23.0313,1.75492
16.4167,23.0605,1.46828
16.4333,23.085,1.56124
16.45,23.111,1.67903
16.4667,23.139,1.47416
16.4833,23.1636,1.62339
16.5,23.1906,1.45818
16.5167,23.2149,1.57354
16.5333,23.2412,1.48819
16.55,23.266,1.51524
16.5667,23.2912,1.40204
16.5833,23.3146,1.54574
16.6,23.3403,1.38571
16.6167,23.3634,1.40254
16.6333,23.3868,1.53434
16.65,23.4124,1.37041
16.6667,23.4352,1.35392
16.6833,23.4578,1.36863
16.7,23.4806,1.36969
16.7167,23.5034,1.4124
16.7333,23.527,1.2273
16.75,23.5474,1.34311
16.7667,23.5698,1.26339
16.7833,23.5909,1.34673
16.8,23.6133,1.28386
16.8167,23.6347,1.1685
16.8333,23.6542,1.22867
16.85,23.6747,1.26408
16.8667,23.6957,1.29375
16.8833,23.7173,1.08116
16.9,23.7353,1.23692
16.9167,23.7559,1.14129
16.9333,23.7749,1.08408
16.95,23.793,1.11354
16.9667,23.8116,1.19148
16.9833,23.8314,1.11289
17,23.85,1.1421
17.0167,23.869,1.04545
17.0333,23.8864,1.12685
17.05,23.9052,1.04136
17.0667,23.9226,0.949905
17.0833,23.9384,1.04686
17.1,23.9559,1.05412
17.1167,23.9734,0.87277
17.1333,23.988,1.09083
17.15,24.0062,1.09115
17.1667,24.0243,0.888969
17.1833,24.0392,0.942753
17.2,24.0549,0.898777
17.2167,24.0698,1.00578
17.2333,24.0866,0.876836
17.25,24.1012,1.03826
17.2667,24.1185,0.783929
17.2833,24.1316,0.979819
17.3,24.1479,0.924215
17.3167,24.1633,0.888008
17.3333,24.1781,0.850248
17.35,24.1923,0.940336
17.3667,24.208,0.849065
17.3833,24.2221,0.846621
17.4,24.2362,0.753791
17.4167,24.2488,0.893418
17.4333,24.2637,0.770499
17.45,24.2765,0.87114
17.4667,24.291,0.956732
17.4833,24.307,0.820623
17.5,24.3207,0.774768
17.5167,24.3336,0.77797
17.5333,24.3465,0.774935
17.55,24.3595,0.819449
17.5667,24.3731,0.848411
17.5833,24.3873,0.773148
17.6,24.4001,0.796926
17.6167,24.4134,0.777272
17.6333,24.4264,0.749763
17.65,24.4389,0.876453
17.6667,24.4535,0.866812
17.6833,24.4679,0.767871
17.7,24.4807,0.818857
17.7167,24.4944,0.836772
17.7333,24.5083,0.713615
17.75,24.5202,0.791408
17.7667,24.5334,0.833441
17.7833,24.5473,0.753281
17.8,24.5599,0.879666
17.8167,24.5745,0.794876
17.8333,24.5878,0.930365
17.85,24.6033,0.741381
17.8667,24.6156,0.830253
17.8833,24.6295,0.967807
17.9,24.6456,0.758924
17.9167,24.6582,0.932286
17.9333,24.6738,0.771288
17.95,24.6866,0.876495
17.9667,24.7012,0.926364
17.9833,24.7167,0.84725
18,24.7308,0.954177
18.0167,24.7467,0.80089
18.0333,24.7601,0.958544
18.05,24.776,0.805429
18.0667,24.7895,1.06592
18.0833,24.8072,0.858311
18.1,24.8215,0.934158
18.1167,24.8371,0.923345
18.1333,24.8525,1.02185
18.15,24.8695,0.94946
18.1667,24.8853,0.968845
18.1833,24.9015,0.975108
18.2,24.9177,1.10403
18.2167,24.9361,1.03205
18.2333,24.9533,0.91488
18.25,24.9686,1.12202
18.2667,24.9873,1.1175
18.2833,25.0059,0.975082
18.3,25.0222,1.10039
18.3167,25.0405,1.0895
18.3333,25.0587,1.12205
18.35,25.0774,1.18247
18.3667,25.0971,1.09223
18.3833,25.1153,1.094
18.4,25.1335,1.28644
18.4167,25.1549,1.21178
18.4333,25.1751,1.09256
18.45,25.1934,1.19481
18.4667,25.2133,1.23083
18.4833,25.2338,1.28939
18.5,25.2553,1.242
18.5167,25.276,1.22456
18.5333,25.2964,1.41201
18.55,25.3199,1.24727
18.5667,25.3407,1.23908
18.5833,25.3614,1.44105
18.6,25.3854,1.25613
18.6167,25.4063,1.37169
18.6333,25.4292,1.44538
18.65,25.4533,1.30475
18.6667,25.475,1.46807
18.6833,25.4995,1.48853
18.7,25.5243,1.32239
18.7167,25.5463,1.5229
18.7333,25.5717,1.44647
18.75,25.5958,1.43368
18.7667,25.6197,1.50739
18.7833,25.6448,1.61767
18.8,25.6718,1.43251
18.8167,25.6957,1.58874
18.8333,25.7221,1.48997
18.85,25.747,1.53268
18.8667,25.7725,1.59322
18.8833,25.7991,1.67846
18.9,25.827,1.60453
18.9167,25.8538,1.54226
18.9333,25.8795,1.70197
18.95,25.9079,1.57282
18.9667,25.9341,1.633
18.9833,25.9613,1.62667
19,25.9884,1.76907
19.0167,26.0179,1.626
19.0333,26.045,1.69199
19.05,26.0732,1.8249
19.0667,26.1036,1.70397
19.0833,26.132,1.74306
19.1,26.1611,1.6806
19.1167,26.1891,1.73975
19.1333,26.2181,1.80919
19.15,26.2482,1.86277
19.1667,26.2793,1.74491
19.1833,26.3083,1.80547
19.2,26.3384,1.76345
19.2167,26.3678,1.84344
19.2333,26.3985,1.81747
19.25,26.4288,1.86943
19.2667,26.46,1.77191
19.2833,26.4895,1.8556
19.3,26.5205,1.75387
19.3167,26.5497,1.93543
19.3333,26.5819,1.91161
19.35,26.6138,1.78521
19.3667,26.6436,1.87267
19.3833,26.6748,1.93356
19.4,26.707,1.79851
19.4167,26.737,1.88075
19.4333,26.7683,1.94393
19.45,26.8007,1.85599
19.4667,26.8316,1.98794
19.4833,26.8648,1.74848
19.5,26.8939,2.01088
19.5167,26.9274,1.78728
19.5333,26.9572,1.92186
19.55,26.9893,1.8838
19.5667,27.0206,1.89582
19.5833,27.0522,1.84043
19.6,27.0829,1.92314
19.6167,27.115,1.96526
19.6333,27.1477,1.82003
19.65,27.1781,2.01079
19.6667,27.2116,1.78732
19.6833,27.2414,1.85016
19.7,27.2722,1.8932
19.7167,27.3037,1.87093
19.7333,27.3349,1.88855
19.75,27.3664,1.90843
19.7667,27.3982,1.74175
19.7833,27.4272,1.91997
19.8,27.4592,1.84709
19.8167,27.49,1.95586
19.8333,27.5226,1.79973
19.85,27.5526,1.74824
19.8667,27.5818,1.86268
19.8833,27.6128,1.83587
19.9,27.6434,1.82404
19.9167,27.6738,1.77999
19.9333,27.7035,1.79919
19.95,27.7335,1.82656
19.9667,27.7639,1.7885
19.9833,27.7937,1.74646
20,27.8228,1.70394
20.0167,27.8512,1.74615
20.0333,27.8803,1.73245
20.05,27.9092,1.7227
20.0667,27.9379,1.72086
20.0833,27.9666,1.73505
20.1,27.9955,1.68402
20.1167,28.0236,1.68584
20.1333,28.0517,1.61713
20.15,28.0786,1.6996
20.1667,28.1069,1.63016
20.1833,28.1341,1.6807
20.2,28.1621,1.52382
20.2167,28.1875,1.63082
20.2333,28.2147,1.63413
20.25,28.2419,1.48697
20.2667,28.2667,1.63496
20.2833,28.294,1.48946
20.3,28.3188,1.63984
20.3167,28.3461,1.49526
20.3333,28.371,1.4804
20.35,28.3957,1.54052
20.3667,28.4214,1.33006
20.3833,28.4436,1.58702
20.4,28.47,1.37077
20.4167,28.4929,1.37922
20.4333,28.5158,1.50008
20.45,28.5408,1.29778
20.4667,28.5625,1.49049
20.4833,28.5873,1.40813
20.5,28.6108,1.29504
20.5167,28.6324,1.37823
20.5333,28.6553,1.24442
20.55,28.6761,1.35815
20.5667,28.6987,1.32743
20.5833,28.7208,1.21819
20.6,28.7411,1.2778
20.6167,28.7624,1.21845
20.6333,28.7827,1.27163
20.65,28.8039,1.22163
20.6667,28.8243,1.30213
20.6833,28.846,1.1819
20.7,28.8657,1.2065
20.7167,28.8858,1.19714
20.7333,28.9058,1.05204
20.75,28.9233,1.11335
20.7667,28.9419,1.2136
20.7833,28.9621,1.0703
20.8,28.9799,1.11692
20.8167,28.9985,1.072
20.8333,29.0164,1.17852
20.85,29.036,0.910992
20.8667,29.0512,1.09735
20.8833,29.0695,1.06428
20.9,29.0873,0.926718
20.9167,29.1027,1.06161
20.9333,29.1204,0.941591
20.95,29.1361,1.01245
20.9667,29.153,1.07556
20.9833,29.1709,0.885376
21,29.1856,1.0046
21.0167,29.2024,0.872398
21.0333,29.2169,0.978349
21.05,29.2332,0.880486
21.0667,29.2479,0.94475
21.0833,29.2637,1.0128
21.1,29.2805,0.731715
21.1167,29.2927,0.97655
21.1333,29.309,0.846139
21.15,29.3231,0.891307
21.1667,29.338,0.845914
21.1833,29.3521,0.855209
21.2,29.3663,0.934046
21.2167,29.3819,0.742553
21.2333,29.3943,0.926563
21.25,29.4097,0.721168
21.2667,29.4217,0.933357
21.2833,29.4373,0.674103
21.3,29.4485,0.947482
21.3167,29.4643,0.817577
21.3333,29.4779,0.818889
21.35,29.4916,0.821182
21.3667,29.5053,0.726799
21.3833,29.5174,0.878481
21.4,29.532,0.824067
21.4167,29.5457,0.719072
21.4333,29.5577,0.804142
21.45,29.5711,0.745848
21.4667,29.5836,0.83029
21.4833,29.5974,0.850994
21.5,29.6116,0.868436
21.5167,29.6261,0.657993
21.5333,29.637,0.917379
21.55,29.6523,0.770915
21.5667,29.6652,0.892298
21.5833,29.68,0.791917
21.6,29.6932,0.825755
21.6167,29.707,0.809632
21.6333,29.7205,0.660362
21.65,29.7315,0.978165
21.6667,29.7478,0.877119
21.6833,29.7624,0.782371
21.7,29.7755,0.843281
21.7167,29.7895,0.778567
21.7333,29.8025,0.86029
21.75,29.8168,0.937963
21.7667,29.8325,0.821341
21.7833,29.8462,0.813045
21.8,29.8597,0.945168
21.8167,29.8755,0.845401
21.8333,29.8895,0.952528
21.85,29.9054,0.924394
21.8667,29.9208,0.842908
21.8833,29.9349,0.925019
21.9,29.9503,1.00175
21.9167,29.967,0.999537
21.9333,29.9836,0.931435
21.95,29.9992,0.965907
21.9667,30.0153,0.965924
21.9833,30.0314,1.04134
22,30.0487,0.937553
22.0167,30.0643,0.978387
22.0333,30.0807,1.12533
22.05,30.0994,1.01099
22.0667,30.1163,1.00298
22.0833,30.133,1.15201
22.1,30.1522,1.03933
22.1167,30.1695,1.10978
22.1333,30.188,1.02952
22.15,30.2052,1.14769
22.1667,30.2243,1.19747
22.1833,30.2442,1.06756
22.2,30.262,1.19715
22.2167,30.282,1.22411
22.2333,30.3024,1.21607
22.25,30.3227,1.22369
22.2667,30.3431,1.09956
22.2833,30.3614,1.26869
22.3,30.3825,1.28814
22.3167,30.404,1.32249
22.3333,30.426,1.1788
22.35,30.4457,1.27824
22.3667,30.467,1.38468
22.3833,30.4901,1.37136
22.4,30.5129,1.22136
22.4167,30.5333,1.38842
22.4333,30.5564,1.38404
22.45,30.5795,1.44106
22.4667,30.6035,1.30356
22.4833,30.6252,1.4041
22.5,30.6486,1.54684
22.5167,30.6744,1.42098
22.5333,30.6981,1.44575
22.55,30.7222,1.38459
22.5667,30.7453,1.55195
22.5833,30.7711,1.59583
22.6,30.7977,1.48951
22.6167,30.8225,1.43682
22.6333,30.8465,1.66555
22.65,30.8743,1.48032
22.6667,30.8989,1.58793
22.6833,30.9254,1.56705
22.7,30.9515,1.67487
22.7167,30.9794,1.52165
22.7333,31.0048,1.58219
22.75,31.0312,1.77619
22.7667,31.0608,1.65091
22.7833,31.0883,1.72808
22.8,31.1171,1.53765
22.8167,31.1427,1.72374
22.8333,31.1714,1.71195
22.85,31.2,1.7209
22.8667,31.2286,1.70896
22.8833,31.2571,1.76817
22.9,31.2866,1.61592
22.9167,31.3135,1.81078
22.9333,31.3437,1.81202
22.95,31.3739,1.77001
22.9667,31.4034,1.74372
22.9833,31.4325,1.76821
23,31.4619,1.96279
23.0167,31.4947,1.77895
23.0333,31.5243,1.79865
23.05,31.5543,1.85891
23.0667,31.5853,1.87869
23.0833,31.6166,1.82525
23.1,31.647,1.84996
23.1167,31.6778,1.79837
23.1333,31.7078,1.90598
23.15,31.7396,1.81812
23.1667,31.7699,1.92395
23.1833,31.8019,1.83418
23.2,31.8325,1.85867
23.2167,31.8635,1.90926
23.2333,31.8953,1.81759
23.25,31.9256,1.87311
23.2667,31.9568,1.92248
23.2833,31.9889,1.97458
23.3,32.0218,1.87922
23.3167,32.0531,1.82222
23.3333,32.0835,1.94348
23.35,32.1158,1.92161
23.3667,32.1479,1.93072
23.3833,32.1801,1.94977
23.4,32.2126,1.81742
23.4167,32.2428,1.92794
23.4333,32.275,1.96471
23.45,32.3077,1.87252
23.4667,32.3389,1.95895
23.4833,32.3716,1.71207
23.5,32.4001,1.96423
23.5167,32.4328,1.9048
23.5333,32.4646,1.8935
23.55,32.4962,1.79687
23.5667,32.5261,1.85924
23.5833,32.5571,1.95296
23.6,32.5896,1.77996
23.6167,32.6193,1.82484
23.6333,32.6497,1.8734
23.65,32.6809,1.83871
23.6667,32.7116,1.87233
23.6833,32.7428,1.81874
23.7,32.7731,1.79404
23.7167,32.803,1.77575
23.7333,32.8326,1.82501
23.75,32.863,1.79514
23.7667,32.8929,1.71433
23.7833,32.9215,1.7725
23.8,32.9511,1.83618
23.8167,32.9817,1.74888
23.8333,33.0108,1.72166
23.85,33.0395,1.77452
23.8667,33.0691,1.63387
23.8833,33.0963,1.88737
23.9,33.1278,1.61034
23.9167,33.1546,1.69261
23.9333,33.1828,1.65791
23.95,33.2104,1.66366
23.9667,33.2382,1.68129
23.9833,33.2662
