frame,r_status,r_x,r_y,t_status,t_id,t_x,t_y,theta_deg,n_clusters,n_lit
95,detected,602.2,430.4,detected,3,708.2,617.1,299.6,3,0
96,detected,599.2,432.3,detected,3,706.5,618.9,299.9,3,0
97,detected,594.4,435.5,detected,3,702.5,621.6,300.2,4,0
98,detected,589.4,438.8,detected,3,699.4,623.6,300.8,3,0
99,detected,585.2,441.6,detected,3,696.8,623.3,301.5,3,0
100,detected,580.6,445.0,detected,3,694.1,625.9,302.1,4,1
101,detected,576.6,448.1,detected,3,691.4,628.3,302.5,3,1
102,detected,573.6,450.7,detected,3,690.0,630.1,303.0,3,0
103,detected,570.0,454.8,lost,3,686.1,632.9,,5,0
104,detected,566.9,458.6,lost,3,682.3,635.7,,4,0
105,detected,564.5,461.6,lost,3,678.4,638.5,,5,0
106,detected,562.7,463.3,lost,3,674.5,641.4,,5,0
107,estimated,562.7,464.1,lost,3,670.6,644.2,,7,0
108,detected,559.5,472.7,lost,3,666.7,647.0,,6,1
109,estimated,559.2,473.2,lost,3,662.9,649.8,,6,0
110,estimated,558.9,473.9,lost,3,659.0,652.6,,7,0
111,estimated,558.5,474.7,lost,3,655.1,655.4,,7,0
112,estimated,557.9,475.5,lost,3,651.2,658.2,,6,0
113,estimated,557.4,476.5,detected,3,680.3,657.9,304.1,6,0
114,estimated,557.0,477.8,detected,3,687.2,671.9,303.9,5,0
115,estimated,556.6,479.6,detected,3,690.8,683.0,303.4,5,0
116,estimated,556.3,481.7,detected,3,698.2,688.1,304.5,5,1
117,estimated,556.3,484.1,detected,3,705.7,687.9,306.2,5,1
118,estimated,556.5,486.3,detected,3,710.6,685.8,307.7,6,1
119,estimated,557.0,488.6,detected,3,717.6,678.3,310.2,4,1
120,estimated,557.9,490.7,detected,3,724.1,672.9,312.4,4,1
121,estimated,559.1,492.7,detected,3,727.6,667.9,313.9,5,1
122,estimated,560.5,494.3,detected,3,732.3,663.6,315.4,4,1
123,estimated,562.3,495.9,detected,3,734.1,660.7,316.2,5,1
124,estimated,564.2,497.1,detected,3,736.4,659.4,316.7,6,1
125,detected,563.3,613.1,detected,3,738.1,659.8,345.0,8,1
126,detected,563.3,672.5,detected,3,739.7,660.7,3.8,4,1
127,detected,563.4,704.0,detected,3,739.7,662.5,13.2,5,1
128,detected,563.9,721.4,detected,3,740.4,664.3,17.9,6,1
129,detected,567.9,734.9,detected,3,743.8,668.6,20.7,6,1
130,detected,572.5,744.9,detected,3,748.9,671.4,22.6,5,1
131,detected,576.6,752.2,detected,3,750.2,674.1,24.2,6,1
132,detected,582.4,758.9,detected,3,754.2,676.2,25.7,5,1
133,estimated,585.1,760.5,detected,3,757.6,677.2,25.8,7,1
134,detected,589.3,764.7,detected,3,759.6,677.7,27.1,7,1
135,detected,595.1,768.7,detected,3,763.1,676.7,28.7,7,1
136,detected,600.7,771.9,detected,3,764.2,676.2,30.3,7,1
137,detected,605.5,774.1,detected,3,765.9,675.8,31.5,7,1
138,detected,610.7,776.0,detected,3,768.9,675.4,32.5,8,2
139,detected,615.5,777.6,detected,3,770.6,674.4,33.6,6,2
140,detected,619.7,778.9,lost,3,775.5,674.7,,6,1
141,detected,623.3,780.1,detected,3,775.5,674.3,34.8,7,2
142,detected,626.6,781.3,detected,3,777.6,674.0,35.4,7,2
143,detected,630.2,782.4,detected,3,779.1,673.4,36.2,7,3
144,detected,636.2,783.9,detected,3,784.2,672.4,37.0,7,1
145,detected,642.0,785.3,detected,3,782.5,676.0,37.9,5,0
146,detected,647.0,786.5,detected,3,786.9,673.8,38.9,5,1
147,detected,651.3,787.6,detected,3,790.1,672.1,39.8,7,1
148,detected,654.8,788.5,lost,3,795.1,671.6,,4,0
149,detected,657.6,789.3,lost,3,800.0,671.0,,6,0
150,detected,659.8,789.8,lost,3,805.0,670.5,,6,0
151,detected,662.3,790.1,detected,3,791.7,674.8,41.7,7,0
152,detected,664.6,790.3,detected,3,791.1,673.0,42.9,6,0
153,detected,666.8,790.4,detected,3,792.1,669.7,43.9,6,0
154,detected,671.3,790.7,detected,3,790.9,671.6,44.9,5,0
155,detected,675.9,791.0,detected,3,793.8,667.4,46.3,6,0
156,detected,680.0,791.2,detected,3,792.6,668.5,47.4,6,0
157,detected,683.7,791.5,detected,3,791.2,670.2,48.5,6,0
158,detected,688.1,791.0,detected,3,796.0,663.4,49.8,9,0
159,detected,692.6,789.8,detected,3,799.3,657.5,51.1,7,1
160,detected,696.9,788.0,lost,3,802.0,653.8,,6,0
161,detected,701.0,786.0,lost,3,804.7,650.1,,7,0
162,detected,705.0,784.0,detected,3,805.9,648.8,53.3,7,1
163,detected,708.9,782.1,detected,3,808.6,644.5,54.1,5,1
164,detected,714.1,780.4,detected,3,812.3,639.9,55.0,5,1
165,detected,719.3,778.8,lost,3,816.6,634.1,,4,1
166,detected,724.3,777.2,lost,3,820.9,628.3,,3,1
167,detected,728.9,775.5,lost,3,825.2,622.4,,4,1
168,detected,734.0,772.4,lost,3,829.5,616.6,,4,0
169,detected,741.7,766.2,lost,3,833.8,610.8,,6,1
170,detected,752.0,756.4,lost,3,838.1,604.9,,6,1
171,estimated,756.0,756.4,detected,3,826.2,627.8,61.3,5,1
172,estimated,759.9,756.2,detected,3,820.7,627.0,64.8,6,1
173,estimated,763.9,755.9,lost,3,822.5,623.9,,5,1
174,estimated,768.0,755.2,lost,3,824.2,620.8,,4,1
