frame,r_status,r_x,r_y,t_status,t_id,t_x,t_y,theta_deg,n_clusters,n_lit
1,searching,,,searching,,-1.0,-1.0,,0,0
2,searching,,,searching,,-1.0,-1.0,,1,0
3,searching,,,searching,,-1.0,-1.0,,0,0
4,searching,,,searching,,-1.0,-1.0,,0,0
5,searching,,,searching,,-1.0,-1.0,,0,0
6,searching,,,searching,,-1.0,-1.0,,0,0
7,searching,,,searching,,-1.0,-1.0,,0,0
8,searching,,,searching,,-1.0,-1.0,,1,0
9,searching,,,searching,,-1.0,-1.0,,1,0
10,searching,,,searching,,-1.0,-1.0,,0,0
11,searching,,,searching,,-1.0,-1.0,,0,0
12,searching,,,searching,,-1.0,-1.0,,0,0
13,searching,,,searching,,-1.0,-1.0,,0,0
14,searching,,,searching,,-1.0,-1.0,,0,0
15,searching,,,searching,,-1.0,-1.0,,0,0
16,searching,,,searching,,-1.0,-1.0,,0,0
17,searching,,,searching,,-1.0,-1.0,,0,0
18,searching,,,searching,,-1.0,-1.0,,1,0
19,searching,,,searching,,-1.0,-1.0,,0,0
20,searching,,,searching,,-1.0,-1.0,,0,0
21,searching,,,searching,,-1.0,-1.0,,0,0
22,searching,,,searching,,-1.0,-1.0,,0,0
23,searching,,,searching,,-1.0,-1.0,,0,0
24,searching,,,searching,,-1.0,-1.0,,0,0
25,searching,,,searching,,-1.0,-1.0,,0,0
26,searching,,,searching,,-1.0,-1.0,,0,0
27,searching,,,searching,,-1.0,-1.0,,0,0
28,searching,,,searching,,-1.0,-1.0,,0,0
29,searching,,,searching,,-1.0,-1.0,,1,0
30,searching,,,searching,,-1.0,-1.0,,0,0
31,searching,,,searching,,-1.0,-1.0,,0,0
32,searching,,,searching,,-1.0,-1.0,,1,0
33,searching,,,searching,,-1.0,-1.0,,0,0
34,searching,,,searching,,-1.0,-1.0,,0,0
35,searching,,,searching,,-1.0,-1.0,,0,0
36,searching,,,searching,,-1.0,-1.0,,1,0
37,searching,,,searching,,-1.0,-1.0,,0,0
38,searching,,,searching,,-1.0,-1.0,,0,0
39,searching,,,searching,,-1.0,-1.0,,0,0
40,searching,,,searching,,-1.0,-1.0,,0,0
41,searching,,,searching,,-1.0,-1.0,,0,0
42,searching,,,searching,,-1.0,-1.0,,0,0
43,searching,,,searching,,-1.0,-1.0,,0,0
44,searching,,,searching,,-1.0,-1.0,,0,0
