Frame 136 | R=(857.284,653.685) | targets=0
Frame 137 | R=(857.284,653.685) | targets=0
Frame 138 | R=(-1,-1) | targets=0
Frame 139 | R=(-1,-1) | targets=0
Frame 140 | R=(-1,-1) | targets=0
Frame 141 | R=(-1,-1) | targets=0
Frame 142 | R=(-1,-1) | targets=0
Frame 143 | R=(-1,-1) | targets=0
Frame 144 | R=(-1,-1) | targets=0
Frame 145 | R=(-1,-1) | targets=0
Frame 146 | R=(-1,-1) | targets=0
Frame 147 | R=(-1,-1) | targets=0
Frame 148 | R=(-1,-1) | targets=0
Frame 149 | R=(-1,-1) | targets=0
Frame 150 | R=(-1,-1) | targets=0
Frame 151 | R=(-1,-1) | targets=0
Frame 152 | R=(-1,-1) | targets=0
Frame 153 | R=(-1,-1) | targets=0
Frame 154 | R=(-1,-1) | targets=0
Frame 155 | R=(-1,-1) | targets=0
Frame 156 | R=(-1,-1) | targets=0
Frame 157 | R=(-1,-1) | targets=0
Frame 158 | R=(-1,-1) | targets=0
Frame 159 | R=(-1,-1) | targets=0
Frame 160 | R=(-1,-1) | targets=0
Frame 161 | R=(-1,-1) | targets=0
Frame 162 | R=(-1,-1) | targets=0
Frame 163 | R=(-1,-1) | targets=0
Frame 164 | R=(-1,-1) | targets=0
Frame 165 | R=(-1,-1) | targets=0
Frame 166 | R=(-1,-1) | targets=0
Frame 167 | R=(-1,-1) | targets=0
Frame 168 | R=(-1,-1) | targets=0
Frame 169 | R=(-1,-1) | targets=0
Frame 170 | R=(-1,-1) | targets=0
Frame 171 | R=(-1,-1) | targets=0
Frame 172 | R=(-1,-1) | targets=0
Frame 173 | R=(-1,-1) | targets=0
Frame 174 | R=(-1,-1) | targets=0
Frame 175 | R=(-1,-1) | targets=0
Frame 176 | R=(-1,-1) | targets=0
Frame 177 | R=(-1,-1) | targets=0
Frame 178 | R=(-1,-1) | targets=0
Frame 179 | R=(-1,-1) | targets=0
Frame 180 | R=(-1,-1) | targets=0
Frame 181 | R=(-1,-1) | targets=0
Frame 182 | R=(-1,-1) | targets=0
Frame 183 | R=(-1,-1) | targets=0
Frame 184 | R=(-1,-1) | targets=0
Frame 185 | R=(-1,-1) | targets=0
Frame 186 | R=(-1,-1) | targets=0
Frame 187 | R=(-1,-1) | targets=0
Frame 188 | R=(-1,-1) | targets=0
Frame 189 | R=(-1,-1) | targets=0
Frame 190 | R=(-1,-1) | targets=0
Frame 191 | R=(-1,-1) | targets=0
Frame 192 | R=(-1,-1) | targets=0
Frame 193 | R=(-1,-1) | targets=0
Frame 194 | R=(-1,-1) | targets=0
Frame 195 | R=(-1,-1) | targets=0
Frame 196 | R=(-1,-1) | targets=0
Frame 197 | R=(-1,-1) | targets=0
Frame 198 | R=(-1,-1) | targets=0
Frame 199 | R=(-1,-1) | targets=0
